TIME|NGINX PODS|RUNNING TRAINERS|CLUSTER CPU UTILS
9|400|11|57.30
14|400|29|62.88
21|400|30|63.48
27|400|45|68.08
33|400|60|73.02
38|400|74|77.75
44|400|75|78.30
50|400|90|82.90
112|399|90|82.77
117|305|90|70.76
123|301|90|70.25
129|300|90|70.12
213|214|90|59.14
219|201|90|57.47
224|200|90|57.35
301|190|90|56.07
307|108|90|45.59
311|100|90|44.57
393|188|90|55.81
399|200|90|57.35
491|300|90|70.12
580|399|90|82.77
588|400|90|82.90
707|297|90|69.74
712|165|90|52.88
717|74|90|41.25
721|9|90|32.94
726|1|83|30.43
729|0|0|4.24
